species_author,Family,Order,Superorder,Group,Sample_reference_code,Life_cycle_habit,Plant_growth_habit,C (%),S (%),R (%),CSR,Color_values,growth_habit_grey,growth_habit_color,Growth_habit_symbol
Abarema cochliocarpos (Gomes) Barneby & J.W. Grimes,Fabaceae,Fabales,Rosanae,Dicot,Pinho,perennial,tree,22.83,61.39,15.78,S/CSR,"@rgb(58,157,40)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Abarema macradenia (Pittier) Barneby & J.W. Grimes,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,54.76,45.24,0,CS,"@rgb(140,115,0)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Abuta racemosa (Thunb.) Triana & Planch.,Menispermaceae,Ranunculales,Ranunculanae,Dicot,Wright,perennial,liana,29.59,63.12,7.28,S/CS,"@rgb(75,161,19)","@rgb(128,128,128)","@rgb(128,128,128)","@symbol(3,512,0)"
Abutilon theophrasti Medik.,Malvaceae,Malvales,Rosanae,Dicot,Cerabolini/Pierce,annual,forb,66.59,14.07,19.34,C/CR,"@rgb(170,36,49)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Acalypha diversifolia Jacq.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,shrub,43.52,35.93,20.55,CS/CSR,"@rgb(111,92,52)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Acalypha macrostachya Jacq.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,shrub,67.91,11.3,20.79,C/CR,"@rgb(173,29,53)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Acalypha virginica L.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Cerabolini/Pierce,annual,forb,28.02,30.08,41.9,CSR,"@rgb(71,77,107)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Acer campestre L.,Sapindaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,42.29,29.41,28.3,CSR,"@rgb(108,75,72)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Acer monspessulanum L.,Sapindaceae,Sapindales,Rosanae,Dicot,Díaz,perennial,tree,23.49,68.83,7.69,S/CS,"@rgb(60,176,20)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Acer negundo L.,Sapindaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,50.38,23.31,26.31,C/CSR,"@rgb(128,59,67)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
