Column1,oldspec,Abundance,SurveyUnits,SurveyType,SurveyYear,SurveyID,SiteName,Site,TruePlot,SiteCode,FireFreq,ConcatenatedPlot,Plot,ConcatPlot2,FireEvents,FirePeriod,FireStart,FireLast,FireType,FireSeason,GenusSpecies,genus,species,Family,symb,Fire Frequency Category
31911,Acer saccharinum,0.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,2,S,0.2631579,2S-0.2631579,2S-0.2631579,2-0.2631579,5,19,1992,2007,P,FEB-MAR,Acer saccharinum,Acer,saccharinum,Sapindaceae,am,Medium
5113,Agrostis,0.5625,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,4,S,0.3684211,4S-0.3684211,4S-0.3684211,4-0.3684211,7,19,1992,2008,P,FEB-MAR,Agrostis NA,Agrostis,NA,Poaceae,am,Medium
1103,Allium,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,3,S,0.2105263,3S-0.2105263,3S-0.2105263,3-0.2105263,4,19,1991,2005,P,FEB-MAR,Allium NA,Allium,NA,Amaryllidaceae,am,Medium
4261,Allium,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,6,S,0.2105263,6S-0.2105263,6S-0.2105263,6-0.2105263,4,19,1993,2008,P,FEB-MAR,Allium NA,Allium,NA,Amaryllidaceae,am,Medium
1413,Allium,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,7,S,0.1052632,7S-0.1052632,7S-0.1052632,7-0.1052632,2,19,1996,2005,P,FEB-MAR,Allium NA,Allium,NA,Amaryllidaceae,am,Medium
39911,Ambrosia psilostachya,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,1,S,0.5263158,1S-0.5263158,1S-0.5263158,1-0.5263158,10,19,1989,2007,P,FEB-MAR,Ambrosia psilostachya,Ambrosia,psilostachya,Compositae,am,High
32210,Ambrosia psilostachya,9.75,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,2,S,0.2631579,2S-0.2631579,2S-0.2631579,2-0.2631579,5,19,1992,2007,P,FEB-MAR,Ambrosia psilostachya,Ambrosia,psilostachya,Compositae,am,Medium
1151,Ambrosia psilostachya,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,3,S,0.2105263,3S-0.2105263,3S-0.2105263,3-0.2105263,4,19,1991,2005,P,FEB-MAR,Ambrosia psilostachya,Ambrosia,psilostachya,Compositae,am,Medium
5301,Ambrosia psilostachya,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,4,S,0.3684211,4S-0.3684211,4S-0.3684211,4-0.3684211,7,19,1992,2008,P,FEB-MAR,Ambrosia psilostachya,Ambrosia,psilostachya,Compositae,am,Medium
4141,Ambrosia psilostachya,0.4375,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,6,S,0.2105263,6S-0.2105263,6S-0.2105263,6-0.2105263,4,19,1993,2008,P,FEB-MAR,Ambrosia psilostachya,Ambrosia,psilostachya,Compositae,am,Medium
2113,Ambrosia psilostachya,0.5625,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,7,S,0.1052632,7S-0.1052632,7S-0.1052632,7-0.1052632,2,19,1996,2005,P,FEB-MAR,Ambrosia psilostachya,Ambrosia,psilostachya,Compositae,am,Medium
1631,Ambrosia psilostachya,0.6875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,10,S,0.3157895,10S-0.3157895,10S-0.3157895,10-0.3157895,6,19,1992,2005,P,FEB-MAR,Ambrosia psilostachya,Ambrosia,psilostachya,Compositae,am,Medium
4881,Ambrosia trifida,4.75,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,4,S,0.3684211,4S-0.3684211,4S-0.3684211,4-0.3684211,7,19,1992,2008,P,FEB-MAR,Ambrosia trifida,Ambrosia,trifida,Compositae,am,Medium
2162,Ambrosia trifida,0.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,10,S,0.3157895,10S-0.3157895,10S-0.3157895,10-0.3157895,6,19,1992,2005,P,FEB-MAR,Ambrosia trifida,Ambrosia,trifida,Compositae,am,Medium
2192,Ampelopsis arborea,0.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,10,S,0.3157895,10S-0.3157895,10S-0.3157895,10-0.3157895,6,19,1992,2005,P,FEB-MAR,Ampelopsis arborea,Ampelopsis,arborea,Vitaceae,am,Medium
5731,Ampelopsis arborea,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,13,S,0,13S-0,13S-0,13-0,0,0,NA,NA,UB,CONT,Ampelopsis arborea,Ampelopsis,arborea,Vitaceae,am,Unburnt
37711,Amphicarpaea bracteata,1.4,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,1,S,0.5263158,1S-0.5263158,1S-0.5263158,1-0.5263158,10,19,1989,2007,P,FEB-MAR,Amphicarpaea bracteata,Amphicarpaea,bracteata,Leguminosae,nfix,High
2906,Amphicarpaea bracteata,1.5,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,2,S,0.2631579,2S-0.2631579,2S-0.2631579,2-0.2631579,5,19,1992,2007,P,FEB-MAR,Amphicarpaea bracteata,Amphicarpaea,bracteata,Leguminosae,nfix,Medium
1221,Amphicarpaea bracteata,1.041667,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,3,S,0.2105263,3S-0.2105263,3S-0.2105263,3-0.2105263,4,19,1991,2005,P,FEB-MAR,Amphicarpaea bracteata,Amphicarpaea,bracteata,Leguminosae,nfix,Medium
