Species,Species_gbif,Sample Number,Code,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g,Stained,Mounted,mycorrhizal_colonization,coll_location,hair_length_raw,hair_density_raw,hair_factor
Achyranthes aspera,Achyranthes aspera,1,ach_asp_1,yes,yes,yes,yes,yes,yes,0.0138,yes,yes,100,glasshouse,21,3,63
Achyranthes aspera,Achyranthes aspera,2,ach_asp_2,yes,yes,yes,yes,yes,yes,0.0097,yes,yes,97,glasshouse,31,13,403
Achyranthes aspera,Achyranthes aspera,3,ach_asp_3,yes,yes,yes,yes,yes,yes,0.0122,yes,yes,95,glasshouse,19,2,38
Achillea millefolium,Achillea millefolium,1,ach_mil_1,yes,yes,yes,yes,yes,yes,0.00095,yes,yes,81,field,13,14,182
Achillea millefolium,Achillea millefolium,2,ach_mil_2,yes,yes,yes,yes,yes,yes,0.001,yes,yes,96,field,11,2,22
Achillea millefolium,Achillea millefolium,3,ach_mil_3,yes,yes,yes,yes,yes,yes,0.0075,yes,yes,85,field,16,15,240
Achillea millefolium,Achillea millefolium,4,ach_mil_4,yes,yes,yes,yes,yes,yes,0.0102,yes,yes,100,field,18,5,90
Achillea millefolium,Achillea millefolium,5,ach_mil_5,yes,yes,yes,yes,yes,yes,0.0026,yes,yes,77,field,12,4,48
Achillea millefolium,Achillea millefolium,6,ach_mil_6,yes,yes,yes,yes,yes,yes,0.00591,yes,yes,90,field,14,4,56
Achillea millefolium,Achillea millefolium,7,ach_mil_7,yes,yes,yes,yes,yes,yes,0.0033,yes,yes,93,field,41,8,328
Ageratina aromatica,Ageratina aromatica,1,age_aro_1,yes,yes,yes,yes,yes,yes,0.0044,yes,yes,74,field,43,15,645
Ageratina aromatica,Ageratina aromatica,2,age_aro_2,yes,yes,yes,yes,yes,yes,0.0066,yes,yes,55,field,46,10,460
Ageratina aromatica,Ageratina aromatica,3,age_aro_3,yes,yes,yes,yes,yes,yes,0.0047,yes,yes,56,field,33,14,462
Ageratina aromatica,Ageratina aromatica,4,age_aro_4,yes,yes,yes,yes,yes,yes,0.0117,yes,yes,72,field,33,13,429
Ageratina aromatica,Ageratina aromatica,5,age_aro_5,yes,yes,yes,yes,yes,yes,0.0077,yes,yes,61,field,39,12,468
Ageratina aromatica,Ageratina aromatica,6,age_aro_6,yes,yes,yes,yes,yes,yes,0.0143,yes,yes,64,field,45,10,450
Ageratina aromatica,Ageratina aromatica,7,age_aro_7,yes,yes,yes,yes,yes,yes,0.0216,yes,yes,24,field,23,19,437
Alchemilla mollis,Alchemilla mollis,1,alc_mol_1,yes,yes,yes,yes,yes,yes,0.0059,yes,yes,91,field,18,5,90
Alchemilla mollis,Alchemilla mollis,2,alc_mol_2,yes,yes,yes,yes,yes,yes,0.0093,yes,yes,94,field,19,6,114
Alchemilla mollis,Alchemilla mollis,3,alc_mol_3,yes,yes,yes,yes,yes,yes,0.0287,yes,yes,92,field,23,7,161
