Code,file_name,ROI,root_tips,branch_points,length_mm,branching_freq_mm-1,network_area_mm2,mean_diameter_mm,median_diameter_mm,max_diameter_mm,perimeter_mm,volume_mm3,SA_mm2,Species,Species_gbif,Sample Number,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g,Stained,Mounted,mycorrhizal_colonization,coll_location,hair_length_raw,hair_density_raw,hair_factor,Location,weight,percent_N,d_15N,percent_C,d_13C
ach_asp_1,ach_asp_1.jpg,roi_2,204,296,529.642,0.559,221.406,0.548,0.479,1.78,831.1,170.198,914.35,Achyranthes aspera,Achyranthes aspera,1,yes,yes,yes,yes,yes,yes,0.0138,yes,yes,100,glasshouse,21,3,63,2 D5,2124.5,2,-3.02,42.71,-28.53
ach_asp_2,ach_asp_2.jpg,roi_2,193,289,476.3,0.607,183.842,0.509,0.432,2.386,756.624,140.335,763.074,Achyranthes aspera,Achyranthes aspera,2,yes,yes,yes,yes,yes,yes,0.0097,yes,yes,97,glasshouse,31,13,403,2 E8,2131,1.97,-3.04,43.25,-28.51
ach_asp_3,ach_asp_3.jpg,roi_2,108,158,406.286,0.389,238.279,0.706,0.677,1.984,673.267,195.734,907.257,Achyranthes aspera,Achyranthes aspera,3,yes,yes,yes,yes,yes,yes,0.0122,yes,yes,95,glasshouse,19,2,38,3 F12,1818,2.02,-3.39,43.14,-28.77
ach_mil_1,ach_mil_1.jpg,Full,79,83,361.907,0.229,124.152,0.391,0.339,1.396,676.421,58.328,444.831,Achillea millefolium,Achillea millefolium,1,yes,yes,yes,yes,yes,yes,9.5e-4,yes,yes,81,field,13,14,182,2 A9,2078.5,1.59,0.69,40.9,-30.56
ach_mil_2,ach_mil_2.jpg,roi_2,85,121,373.526,0.324,77.46,0.239,0.239,0.683,708.204,21.675,280.632,Achillea millefolium,Achillea millefolium,2,yes,yes,yes,yes,yes,yes,0.001,yes,yes,96,field,11,2,22,1 A1,2107,1.2,1.84,43.21,-30.52
ach_mil_3,ach_mil_3.jpg,Full,115,125,325.297,0.384,127.476,0.476,0.423,1.81,571.418,85.13,490.511,Achillea millefolium,Achillea millefolium,3,yes,yes,yes,yes,yes,yes,0.0075,yes,yes,85,field,16,15,240,1 G7,2056.5,1.99,0.64,40.95,-30.49
ach_mil_4,ach_mil_4.jpg,roi_2,79,119,300.531,0.396,141.702,0.581,0.508,1.949,500.558,113.049,554.918,Achillea millefolium,Achillea millefolium,4,yes,yes,yes,yes,yes,yes,0.0102,yes,yes,100,field,18,5,90,1 A7,1956.5,1.28,1.52,44.36,-30.32
ach_mil_5,ach_mil_5.jpg,roi_2,101,127,365.236,0.348,118.077,0.38,0.339,1.212,666.832,54.422,433.542,Achillea millefolium,Achillea millefolium,5,yes,yes,yes,yes,yes,yes,0.0026,yes,yes,77,field,12,4,48,1 G11,2185.5,1.92,0.48,40.52,-30.69
ach_mil_6,ach_mil_6.jpg,Full,203,259,635.113,0.408,207.112,0.413,0.339,2.067,1099.8,130.019,823.213,Achillea millefolium,Achillea millefolium,6,yes,yes,yes,yes,yes,yes,0.00591,yes,yes,90,field,14,4,56,1 G2,2049.5,1.87,0.59,41.86,-30.68
ach_mil_7,ach_mil_7.jpg,roi_2,48,58,224.406,0.258,90.269,0.46,0.423,1.27,413.989,53.393,327.167,Achillea millefolium,Achillea millefolium,7,yes,yes,yes,yes,yes,yes,0.0033,yes,yes,93,field,41,8,328,1 C10,2043,1,1.22,45.77,-30.43
age_aro_1,age_aro_1.jpg,roi_2,92,118,259.931,0.454,97.804,0.444,0.432,1.292,454.678,52.47,366.004,Ageratina aromatica,Ageratina aromatica,1,yes,yes,yes,yes,yes,yes,0.0044,yes,yes,74,field,43,15,645,1 F10,2091,1.32,0.3,40.34,-26.77
age_aro_2,age_aro_2.jpg,roi_2,99,97,317.159,0.306,127.26,0.46,0.423,1.737,582.848,68.19,459.999,Ageratina aromatica,Ageratina aromatica,2,yes,yes,yes,yes,yes,yes,0.0066,yes,yes,55,field,46,10,460,1 F12,1967,1.28,-0.03,40.35,-26.72
age_aro_3,age_aro_3.jpg,roi_2,95,109,316.545,0.344,107.76,0.404,0.339,1.281,567.216,55.732,402.888,Ageratina aromatica,Ageratina aromatica,3,yes,yes,yes,yes,yes,yes,0.0047,yes,yes,56,field,33,14,462,1 C9,2119.5,1.13,0.87,40.94,-27.74
age_aro_4,age_aro_4.jpg,roi_2,38,42,166.277,0.253,121.803,0.814,0.872,1.629,302.785,102.076,429.583,Ageratina aromatica,Ageratina aromatica,4,yes,yes,yes,yes,yes,yes,0.0117,yes,yes,72,field,33,13,429,1 H9,1970,1.17,0.41,38.41,-26.58
age_aro_5,age_aro_5.jpg,roi_2,49,51,245.875,0.207,131.226,0.594,0.593,1.437,455.961,83.555,461.658,Ageratina aromatica,Ageratina aromatica,5,yes,yes,yes,yes,yes,yes,0.0077,yes,yes,61,field,39,12,468,1 A6,2163,0.97,0.85,34.01,-27.54
age_aro_6,age_aro_6.jpg,roi_2,86,112,328.553,0.341,173.889,0.645,0.599,2.259,556.969,146.801,668.306,Ageratina aromatica,Ageratina aromatica,6,yes,yes,yes,yes,yes,yes,0.0143,yes,yes,64,field,45,10,450,1 H12,2011,1.38,0.67,38.02,-26.7
age_aro_7,age_aro_7.jpg,roi_2,87,101,414.006,0.244,212.258,0.576,0.508,1.365,767.147,145.746,748.7,Ageratina aromatica,Ageratina aromatica,7,yes,yes,yes,yes,yes,yes,0.0216,yes,yes,24,field,23,19,437,1 H8,2157.5,1.2,0.59,39.61,-26.69
alc_mol_1,alc_mol_1.jpg,roi_6,56,56,195.644,0.286,110.025,0.694,0.781,1.629,331.941,97.141,421.715,Alchemilla mollis,Alchemilla mollis,1,yes,yes,yes,yes,yes,yes,0.0059,yes,yes,91,field,18,5,90,3 E10,2152.5,1.21,0.99,41.1,-27.07
alc_mol_2,alc_mol_2.jpg,roi_8,149,211,443.446,0.476,186.571,0.544,0.456,2.408,720.347,151.56,760.099,Alchemilla mollis,Alchemilla mollis,2,yes,yes,yes,yes,yes,yes,0.0093,yes,yes,94,field,19,6,114,3 D6,1901.5,1.23,0.69,41.32,-27.13
alc_mol_3,alc_mol_3.jpg,roi_8,266,444,938.802,0.473,399.824,0.558,0.456,2.278,1494.804,331.092,1646.343,Alchemilla mollis,Alchemilla mollis,3,yes,yes,yes,yes,yes,yes,0.0287,yes,yes,92,field,23,7,161,3 C11,2008,1.24,0.7,41.69,-27.08
alc_mol_4,alc_mol_4.jpg,roi_8,116,144,307.593,0.468,123.57,0.492,0.423,1.554,523.814,81.903,477.296,Alchemilla mollis,Alchemilla mollis,4,yes,yes,yes,yes,yes,yes,0.0039,yes,yes,2,field,25,9,225,3 C3,2154.5,1.27,0.94,41.33,-27.03
alc_mol_5,alc_mol_5.jpg,roi_8,80,96,360.341,0.266,198.863,0.659,0.611,2.455,631.908,163.86,745.926,Alchemilla mollis,Alchemilla mollis,5,yes,yes,yes,yes,yes,yes,0.0094,yes,yes,100,field,14,3,42,3 C2,1994.5,1.23,0.85,41.54,-27.17
and_ger_1,and_ger_1.jpg,roi_2,43,45,155.703,0.289,111.77,0.829,0.834,1.557,270.276,94.949,408.496,Andropogon gerardii,Andropogon gerardii,1,yes,yes,yes,yes,yes,yes,0.0184,yes,yes,92,field,0,0,0,2 B4,1910.5,1.17,1.06,42.36,-12.41
and_ger_2,and_ger_2.jpg,roi_2,145,175,431.664,0.405,184.987,0.548,0.508,2.963,719.136,157.965,753.235,Andropogon gerardii,Andropogon gerardii,2,yes,yes,yes,yes,yes,yes,0.0114,yes,yes,83,field,0,0,0,1 G9,1915,1.09,0.46,41.42,-12.71
and_ger_3,and_ger_3.jpg,roi_2,212,268,584.365,0.459,259.734,0.57,0.432,2.083,960.954,231.332,1051.313,Andropogon gerardii,Andropogon gerardii,3,yes,yes,yes,yes,yes,yes,0.0291,yes,yes,80,field,0,0,0,2 A3,1958.5,1.13,1.14,35.64,-12.79
and_ger_4,and_ger_4.jpg,roi_2,132,132,263.209,0.502,126.589,0.607,0.611,1.931,426.149,102.92,505.099,Andropogon gerardii,Andropogon gerardii,4,yes,yes,yes,yes,yes,yes,0.0154,yes,yes,91,field,13,8,104,2 A8,2018.5,1.11,0.79,40.99,-12.59
and_ger_5,and_ger_5.jpg,roi_2,187,253,438.017,0.578,203.276,0.638,0.494,2.438,674.805,230.081,881.395,Andropogon gerardii,Andropogon gerardii,5,yes,yes,yes,yes,yes,yes,0.0132,yes,yes,77,field,0,0,0,1 H2,1845.5,1.13,0.5,41.9,-12.85
and_ger_6,and_ger_6.jpg,roi_2,167,197,310.993,0.633,139.756,0.598,0.593,1.857,464.751,118.748,593.281,Andropogon gerardii,Andropogon gerardii,6,yes,yes,yes,yes,yes,yes,0.0047,yes,yes,62,field,17,5,85,1 A4,1928.5,0.98,2.5,45.73,-12.63
and_ger_7,and_ger_7.jpg,roi_2,146,216,485.494,0.445,256.507,0.71,0.515,2.222,746.836,304.368,1087.495,Andropogon gerardii,Andropogon gerardii,7,yes,yes,yes,yes,yes,yes,0.0329,yes,yes,75,field,0,0,0,2 C1,2066.5,1.3,1.55,42.76,-12.42
ane_tom_1,ane_tom_1.jpg,roi_8,50,58,168.838,0.344,108.224,0.775,0.781,1.893,277.255,96.18,415.39,Anemone tomentosa,Eriocapitella tomentosa,1,yes,yes,yes,yes,yes,yes,0.0131,yes,yes,99,field,10,4,40,3 F1,2000.5,1.34,1.08,41.41,-27.15
ane_tom_2,ane_tom_2.jpg,roi_8,69,87,261.314,0.333,209.161,1.024,1.03,3.105,402.604,287.41,847.317,Anemone tomentosa,Eriocapitella tomentosa,2,yes,yes,yes,yes,yes,yes,0.0434,yes,yes,87,field,43,1,43,3 C6,1958,1.27,0.82,41.94,-27.08
ane_tom_3,ane_tom_3.jpg,roi_8,65,73,241.652,0.302,146.654,0.741,0.677,2.384,413.827,138.382,561.604,Anemone tomentosa,Eriocapitella tomentosa,3,yes,yes,yes,yes,yes,yes,0.0234,yes,yes,91,field,0,0,0,3 E1,1861,1.29,0.77,41.14,-27.16
