Code,Location,weight,percent_N,d_15N,percent_C,d_13C
ach_mil_2,1 A1,2107,1.2,1.84,43.21,-30.52
cha_lat_4,1 A2,1951.5,1.66,0.31,44.22,-24.16
equ_hym_4,1 A3,1988.5,1.1,2.91,46.55,-28.86
and_ger_6,1 A4,1928.5,0.98,2.5,45.73,-12.63
bap_aus_7,1 A5,2098,1.79,-0.22,43.92,-26.81
age_aro_5,1 A6,2163,0.97,0.85,34.01,-27.54
ach_mil_4,1 A7,1956.5,1.28,1.52,44.36,-30.32
rud_hir_1,1 A8,1947,3.31,-4.57,42.03,-29.66
rud_hir_2,1 A9,1926.5,3.24,-4.01,41.2,-29.52
sol_can_5,1 A10,2054,1.57,2.44,42.82,-27.72
nas_ten_6,1 A11,2073.5,0.68,0.5,47.05,-28.93
pot_rec_6,1 A12,2127,1.61,0.91,42.19,-28.06
bap_aus_3,1 B1,2159,2.09,0.01,42.34,-27.03
ono_sen_4,1 B2,1930.5,1.13,-0.13,40.27,-26.6
nas_ten_3,1 B3,1978,1.09,-0.33,45.42,-28.3
bap_aus_2,1 B4,1879,1.8,-0.31,43.51,-26.92
rud_hir_4,1 B5,2004,3.2,-4.27,41.28,-28.56
bap_aus_5,1 B6,2137,1.8,-0.37,43.82,-27.04
sol_can_6,1 B7,2018.5,1.48,2.28,42.4,-27.1
sta_pal_2,1 B8,1937,1.24,1.4,44.55,-28.99
nas_ten_7,1 B9,2129.5,1.03,0.45,46.1,-28.24
nas_ten_1,1 B10,2117.5,0.63,0.32,46.9,-29.14
pot_rec_2,1 B11,2191,0.72,-0.66,24.1,-28.22
sta_pal_1,1 B12,2198.5,1.26,1.81,44.37,-28.99
lin_vul_1,1 C1,1972.5,1.87,1.56,43.72,-29.5
nas_ten_2,1 C2,1804.5,1.02,-0.22,45.15,-28.35
sta_pal_5,1 C3,1976,1.22,1.67,44.67,-29.07
lin_vul_3,1 C4,1803.5,2.29,1.44,42.22,-29.88
bap_aus_1,1 C5,2188,2.2,-0.1,44.07,-27.06
bap_aus_4,1 C6,1917.5,2.43,-0.44,46.32,-26.41
rud_hir_5,1 C7,1932.5,3.05,-4.48,39.08,-29.49
sta_pal_6,1 C8,2049.5,1.16,1.34,44.58,-29.04
age_aro_3,1 C9,2119.5,1.13,0.87,40.94,-27.74
ach_mil_7,1 C10,2043,1,1.22,45.77,-30.43
equ_hym_1,1 C11,2090.5,1.04,1.99,46.55,-28.71
ono_sen_5,1 C12,1869,1.05,-0.61,40.35,-26.46
lin_vul_4,1 D1,1864.5,1.97,1.4,42.45,-29.48
pot_rec_5,1 D2,1967,1.24,0.41,41.45,-28.39
nas_ten_4,1 D3,1939.5,1.22,-0.56,42.92,-28.15
pot_rec_7,1 D4,2113.5,1.55,0.76,44.62,-28.15
equ_hym_7,1 D5,1884.5,1.05,1.68,46.96,-28.68
mon_fis_1,1 D6,2180.5,1.36,0.29,42,-28.12
lin_vul_2,1 D7,1866,1.99,1.35,43.2,-29.37
ono_sen_6,1 D8,2093.5,1.05,-0.19,41.44,-26.71
equ_hym_3,1 D9,2113,1,2.49,48.36,-28.88
equ_hym_5,1 D10,2122,0.97,2.31,47.94,-29
equ_hym_2,1 D11,2016.5,1.07,2.15,45.54,-28.75
lin_vul_6,1 D12,1886,2.05,1.35,43.17,-29.4
pot_rec_4,1 E1,1979.5,1.6,0.32,43.46,-28.03
ono_sen_2,1 E2,2055,0.91,-0.77,41.81,-26.63
ono_sen_7,1 E3,2165,0.87,-0.33,40.85,-25.59
sta_pal_4,1 E4,1914,1.16,1.35,45.12,-28.89
equ_hym_6,1 E5,1869.5,0.88,2.03,48.48,-28.86
ono_sen_3,1 E6,2140.5,0.89,-0.86,42.34,-26.72
