kingdom,phylum,class,order,family,genus,species
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Chasmanthium,Chasmanthium latifolium
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia campestris
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Geum,Geum triflorum
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea millefolium
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Poa,Poa pratensis
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex acetosella
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago canadensis
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,Taraxacum officinale
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Achyranthes,Achyranthes aspera
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla recta
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Alchemilla,Alchemilla mollis
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia,Aquilegia canadensis
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica nigra
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rudbeckia,Rudbeckia hirta
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium aparine
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia sclarea
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Linaria,Linaria vulgaris
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Linaceae,Linum,Linum perenne
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Onocleaceae,Onoclea,Onoclea sensibilis
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,Cerastium arvense
Plantae,Tracheophyta,Polypodiopsida,Equisetales,Equisetaceae,Equisetum,Equisetum hyemale
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Phalaris,Phalaris arundinacea
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Stachys,Stachys palustris
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Aurinia,Aurinia saxatilis
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Schizachyrium,Schizachyrium scoparium
Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Scirpoides,Scirpoides holoschoenus
Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,Juncus inflexus
Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex otrubae
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Mercurialis,Mercurialis annua
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus,Lotus rectus
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Andropogon,Andropogon gerardii
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum virgatum
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum,Symphyotrichum ericoides
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Monarda,Monarda fistulosa
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Nassella,Nassella tenuissima
Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Petunia,Petunia axillaris
Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Crinum,Crinum moorei
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Campsis,Campsis radicans
Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Biophytum,Biophytum umbraculum
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias syriaca
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Woodsiaceae,Physematium,Physematium obtusum
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratina,Ageratina aromatica
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Eriocapitella,Eriocapitella tomentosa
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Pontechium,Pontechium maculatum
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Echinacea,Echinacea pallida
Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Iris,Iris missouriensis
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Thermopsis,Thermopsis montana
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Baptisia,Baptisia australis
Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Erodium,Erodium trifolium
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum scoparium
