Species,Species_gbif,Sample Number,Code,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g
Andropogon gerardii,Andropogon gerardii,1,and_ger_1,yes,yes,yes,yes,yes,yes,0.0184
Andropogon gerardii,Andropogon gerardii,2,and_ger_2,yes,yes,yes,yes,yes,yes,0.0114
Andropogon gerardii,Andropogon gerardii,3,and_ger_3,yes,yes,yes,yes,yes,yes,0.0291
Andropogon gerardii,Andropogon gerardii,4,and_ger_4,yes,yes,yes,yes,yes,yes,0.0154
Andropogon gerardii,Andropogon gerardii,5,and_ger_5,yes,yes,yes,yes,yes,yes,0.0132
Andropogon gerardii,Andropogon gerardii,6,and_ger_6,yes,yes,yes,yes,yes,yes,0.0047
Andropogon gerardii,Andropogon gerardii,7,and_ger_7,yes,yes,yes,yes,yes,yes,0.0329
Panicum virgatum,Panicum virgatum,1,pan_vir_1,yes,yes,yes,yes,yes,yes,0.0048
Panicum virgatum,Panicum virgatum,2,pan_vir_2,yes,yes,yes,yes,yes,yes,0.0402
Panicum virgatum,Panicum virgatum,3,pan_vir_3,yes,yes,yes,yes,yes,yes,0.0099
Panicum virgatum,Panicum virgatum,4,pan_vir_4,yes,yes,yes,yes,yes,yes,0.0084
Panicum virgatum,Panicum virgatum,5,pan_vir_5,yes,yes,yes,yes,yes,yes,0.0093
Panicum virgatum,Panicum virgatum,6,pan_vir_6,yes,yes,yes,yes,yes,yes,0.0061
Panicum virgatum,Panicum virgatum,7,pan_vir_7,yes,yes,yes,yes,yes,yes,0.0113
Schizachyrium scoparium,Schizachyrium scoparium,1,sch_sco_1,yes,yes,yes,yes,yes,yes,0.0197
Schizachyrium scoparium,Schizachyrium scoparium,2,sch_sco_2,yes,yes,yes,yes,yes,yes,0.0287
Schizachyrium scoparium,Schizachyrium scoparium,3,sch_sco_3,yes,yes,yes,yes,yes,yes,0.00906
Schizachyrium scoparium,Schizachyrium scoparium,4,sch_sco_4,yes,yes,yes,yes,yes,yes,0.0135
Schizachyrium scoparium,Schizachyrium scoparium,5,sch_sco_5,yes,yes,yes,yes,yes,yes,0.0293
Schizachyrium scoparium,Schizachyrium scoparium,6,sch_sco_6,yes,yes,yes,yes,yes,yes,0.0076
Schizachyrium scoparium,Schizachyrium scoparium,7,sch_sco_7,yes,yes,yes,yes,yes,yes,0.02592
Chasmanthium latifolium,Chasmanthium latifolium,1,cha_lat_1,yes,yes,yes,yes,yes,yes,0.0433
Chasmanthium latifolium,Chasmanthium latifolium,2,cha_lat_2,yes,yes,yes,yes,yes,yes,0.0233
Chasmanthium latifolium,Chasmanthium latifolium,3,cha_lat_3,yes,yes,yes,yes,yes,yes,0.0488
Chasmanthium latifolium,Chasmanthium latifolium,4,cha_lat_4,yes,yes,yes,yes,yes,yes,0.0474
Chasmanthium latifolium,Chasmanthium latifolium,5,cha_lat_5,yes,yes,yes,yes,yes,yes,0.0597
Chasmanthium latifolium,Chasmanthium latifolium,6,cha_lat_6,yes,yes,yes,yes,yes,yes,0.0199
Chasmanthium latifolium,Chasmanthium latifolium,7,cha_lat_7,yes,yes,yes,yes,yes,yes,0.0253
Rumex acetosella,Rumex acetosella,1,rum_ace_1,yes,yes,yes,yes,yes,yes,0.0018
Rumex acetosella,Rumex acetosella,2,rum_ace_2,yes,yes,yes,yes,yes,yes,0.0033
