file_name,ROI,root_tips,branch_points,length_mm,branching_freq_mm-1,network_area_mm2,mean_diameter_mm,median_diameter_mm,max_diameter_mm,perimeter_mm,volume_mm3,SA_mm2
ach_mil_1.jpg,Full,79,83,361.907,0.229,124.152,0.391,0.339,1.396,676.421,58.328,444.831
ach_mil_3.jpg,Full,115,125,325.297,0.384,127.476,0.476,0.423,1.81,571.418,85.13,490.511
ach_mil_6.jpg,Full,203,259,635.113,0.408,207.112,0.413,0.339,2.067,1099.8,130.019,823.213
bap_aus_2.jpg,roi_1,71,81,491.571,0.165,421.25,0.993,1.02,2.657,868.807,446.884,1537.918
bap_aus_4.jpg,roi_1,65,85,275.274,0.309,171.337,0.741,0.723,1.704,467.343,142.538,644.727
bap_aus_5.jpg,roi_1,54,70,318.369,0.22,231.725,0.899,0.884,2.259,532.703,250.52,894.702
sol_can_3.jpg,Full,308,432,1134.444,0.381,377.619,0.418,0.254,2.303,1988.841,285.275,1489.366
sol_can_6.jpg,Full,253,421,1022.493,0.412,414.022,0.56,0.379,3.72,1635.52,454.462,1796.336
sol_can_7.jpg,Full,193,255,797.977,0.32,286.145,0.422,0.349,1.409,1443.778,157.497,1058.87
sch_sco_2.jpg,roi_2,196,232,467.664,0.496,193.819,0.532,0.479,1.526,750.883,150.317,791.674
sch_sco_3.jpg,roi_2,242,328,589.303,0.557,149.602,0.328,0.268,1.389,1001.849,70.375,604.989
sch_sco_7.jpg,roi_2,280,334,640.146,0.522,278.655,0.547,0.423,2.275,1059.031,242.541,1120.704
ach_mil_2.jpg,roi_2,85,121,373.526,0.324,77.46,0.239,0.239,0.683,708.204,21.675,280.632
ach_mil_5.jpg,roi_2,101,127,365.236,0.348,118.077,0.38,0.339,1.212,666.832,54.422,433.542
age_aro_2.jpg,roi_2,99,97,317.159,0.306,127.26,0.46,0.423,1.737,582.848,68.19,459.999
age_aro_3.jpg,roi_2,95,109,316.545,0.344,107.76,0.404,0.339,1.281,567.216,55.732,402.888
age_aro_6.jpg,roi_2,86,112,328.553,0.341,173.889,0.645,0.599,2.259,556.969,146.801,668.306
age_aro_7.jpg,roi_2,87,101,414.006,0.244,212.258,0.576,0.508,1.365,767.147,145.746,748.7
and_ger_1.jpg,roi_2,43,45,155.703,0.289,111.77,0.829,0.834,1.557,270.276,94.949,408.496
and_ger_2.jpg,roi_2,145,175,431.664,0.405,184.987,0.548,0.508,2.963,719.136,157.965,753.235
and_ger_3.jpg,roi_2,212,268,584.365,0.459,259.734,0.57,0.432,2.083,960.954,231.332,1051.313
and_ger_4.jpg,roi_2,132,132,263.209,0.502,126.589,0.607,0.611,1.931,426.149,102.92,505.099
bap_aus_1.jpg,roi_2,51,51,233.549,0.218,219.901,1.107,0.987,3.293,400.695,314.225,814.536
bap_aus_3.jpg,roi_2,71,97,340.218,0.285,280.551,1.05,0.987,2.983,532.41,386.4,1123.375
bap_aus_7.jpg,roi_2,37,35,127.36,0.275,78.253,0.722,0.723,1.778,222.693,60.886,289.752
